live_id,species,content,label,background
elslk001,美食饮料,巧克力,1,该用户可能是在询问或提及直播中展示的巧克力产品，表达对商品的关注或兴趣。
elslk001,美食饮料,但是有果葡糖浆[捂脸],0,该用户对产品成分中的果葡糖浆表示担忧或不满，暗示这可能影响其购买意愿。
elslk001,美食饮料,奶粉奶粉奶粉奶粉奶粉,1,该用户可能在急切地询问或催促主播介绍奶粉的相关信息，表现出对奶粉产品的强烈兴趣或购买意向。
elslk001,美食饮料,已拍巧克力,0,该用户想表达自己已经下单购买了巧克力，尽管之前有人提到产品含有果葡糖浆的顾虑。
elslk001,美食饮料,"味道好,但有异味",0,该用户对产品的口味表示认可，但认为存在某种令人不快的异常气味。
elslk001,美食饮料,克洛文兄弟把好东西带进中国品质保证你会发大财,0,该用户是在以夸赞主播选品质量可靠的方式，表达对商品的信任和购买支持，暗示这类优质商品会带来商业成功。
elslk001,美食饮料,"收到了,好吃",0,该用户是在确认收货后对产品口味的正面反馈，暗示对商品的满意和可能的复购意向。
elslk001,美食饮料,中文说得很流利[赞][赞],0,该用户是在称赞主播的中文表达能力强，可能暗示对主播的认可或对直播内容的兴趣。
elslk001,美食饮料,中文厉害!刚收到刚吃了各2粒,0,该用户想表达的含义是：产品效果不错，自己已经试用并认可其品质。
elslk001,美食饮料,没有了,1,该用户想表达的含义是：商品已经卖完了或库存没有了。
elslk001,美食饮料,"好好想想吧,俄罗斯他是巧克力的产地吗?巧克力主要原材料是可可可可,生长在热带",0,该用户可能是在质疑俄罗斯作为巧克力产地的合理性，并指出巧克力的主要原料可可豆产自热带地区，暗示俄罗斯并非理想的巧克力生产地。
elslk001,美食饮料,独立包装加分,0,该用户认为产品采用独立包装的设计是一个值得肯定的优点。
elslk001,美食饮料,真抢得到福袋吗[捂脸],0,该用户对能否成功抢到直播间的福袋表示怀疑和调侃。
elslk001,美食饮料,孕妇能不能吃[捂脸],1,该用户是在询问直播中提到的产品（可能是巧克力或奶粉）是否适合孕妇食用，同时用表情符号表达了对这一问题的调侃或无奈情绪。
elslk001,美食饮料,能不能送我一颗尝尝[看][看],0,该用户想表达对产品的尝试兴趣，希望主播能提供免费试吃机会。
elslk001,美食饮料,2号链接的糖可以给孩子吃吗?,1,该用户是在询问2号链接的糖果是否适合儿童食用，表现出对产品安全性和适用年龄的关切。
elslk001,美食饮料,里面没有小包装吗,1,该用户可能是在询问产品是否有更小规格的独立包装选项。
elslk001,美食饮料,"今天必须拍10单8单,已拍2单",0,该用户想表达的含义是：我已经下单了两件商品，还打算再买更多。
elslk001,美食饮料,在哪发贷,0,该用户可能在询问商品购买后的发货渠道或物流信息。
elslk001,美食饮料,没有发,0,该用户可能在询问或抱怨主播尚未发放之前承诺的福利或赠品。
elslk001,美食饮料,"加点,没抢到",0,用户因手速慢未能成功抢购商品，希望主播增加库存或补货。
elslk001,美食饮料,没抢到,0,该用户想表达的是对未能成功参与限时优惠或抢购活动的遗憾情绪。
elslk001,美食饮料,"路过,支持一单[玫瑰]",0,该用户想表达的含义是：虽然只是偶然看到直播，但还是愿意下单表示支持。
elslk001,美食饮料,能不能送我一颗尝尝,0,该用户可能是被直播间的产品展示或他人好评所吸引，想通过索取试吃样品来验证商品品质。
elslk001,美食饮料,介绍下5号链接,1,该用户对5号链接的商品详情感兴趣，希望主播进一步讲解产品信息以便决定是否购买。
elslk001,美食饮料,"别紧张,下巴汗都出来了,幕后开空调,俄国兄弟不怕冷",0,该用户是在以轻松调侃的语气提醒主播放松些，并顺便提及直播间的环境温度较高。
elslk001,美食饮料,"三只小蜜蜂的跟你一样,俄罗斯的卖12块钱一斤",0,该用户可能在对比不同产地的同类商品价格，暗示当前直播间的定价偏高或不合理。
elslk001,美食饮料,有麦片吗,1,该用户可能在询问直播间是否有售卖麦片产品，表达了对麦片类商品的购买兴趣或需求。
elslk001,美食饮料,紫皮糖上吗,1,该用户是在询问直播中是否会售卖紫皮糖这款商品。
elslk001,美食饮料,没抢上啊,0,该用户因未能成功参与限时抢购或领取福利而感到遗憾和失落。
elslk001,美食饮料,相信我一定会,0,该用户想表达的含义是：我肯定会下单购买的。
elslk001,美食饮料,没了?,0,该用户可能是在询问商品是否已经售罄或活动是否结束，表达了对抢购失败的失望或对补货的期待。
elslk001,美食饮料,俄罗斯烟有典吗?,1,该用户是在询问直播间是否有售卖俄罗斯产的经典款香烟。
elslk001,美食饮料,上次买的挺好吃的,0,该用户想表达的含义是：之前购买的产品体验不错，暗示对当前直播商品有持续兴趣或复购意向。
elslk001,美食饮料,主播说得中文很好[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],0,该用户想表达的含义是：对主播中文水平的称赞和认可，但并未直接表现出购买意向。
elslk001,美食饮料,喜欢俄罗斯的大列巴,1,该用户可能对俄罗斯大列巴这款产品产生了兴趣，暗示有购买意向或希望主播详细介绍该商品。
elslk001,美食饮料,想吃你们家混合糖,1,该用户想表达对直播间售卖的混合糖有购买兴趣，并暗示希望主播介绍或上架该产品。
elslk001,美食饮料,"哈喽,柯罗文",0,该用户可能在用主播的名字打招呼，试图引起注意或表达友好互动意愿。
elslk001,美食饮料,这俄罗斯佬中文说的很溜[赞],0,该用户想表达的含义是：对俄罗斯主播流利的中文表示赞赏和惊喜。
elslk001,美食饮料,有没有糖尿病吃的糖?,1,该用户是在询问直播间是否有适合糖尿病患者食用的无糖或代糖产品，表现出对特定健康需求商品的购买兴趣。
elslk001,美食饮料,问题就太贵了,0,该用户认为商品价格偏高，超出了自己的心理预期或承受范围。
elslk001,美食饮料,刚拍了,0,该用户想表达的含义是：自己刚刚下单购买了直播间推荐的商品。
elslk001,美食饮料,在哪直播,0,该用户可能在询问直播间的具体平台或入口位置，以便及时参与观看或购买。
elslk001,美食饮料,俄罗斯不产可可吧,0,该用户可能是在质疑或调侃直播间推荐的俄罗斯产品是否真的产自俄罗斯，暗示可可并非俄罗斯特产。
elslk001,美食饮料,这真是俄罗斯的吗?,1,该用户可能是在质疑或确认直播中所售商品的真实俄罗斯产地。
elslk001,美食饮料,"我头两天拍的饼干是去年7月份生产的,是没过期感觉挺别扭的",0,该用户对收到的饼干生产日期较早感到不满，虽未过期但心里不舒服，暗示对商品新鲜度的疑虑。
